▲ホア▼▲ウェイ▼海洋網絡有限公司,512132424
▲ホア▼▲ウェイ▼技術有限公司,504277388
▲ル▼明福,516227940
▲華▼▲為▼▲終▼端有限公司,509296306
▲凱▼菜英医▲薬▼化学（阜新）技▲術▼有限公司,516156307
▲凱▼菜英医▲薬▼集▲団▼（天津）股▲フン▼有限公司,516156271
▲凱▼菜英生命科学技▲術▼（天津）有限公司,516156282
▲荒▼田哲哉,594076201
▲徳▼勝科技股▲ふん▼有限公司,516282743
▲浜▼田芳男,515268858
３シェイプアー／エス,508158023
ＡＧＣ−ＬＩＸＩＬウィンドウテクノロジー株式会社,511075092
ＡｖａｎＳｔｒａｔｅ株式会社,598055910
ＣＫＤ株式会社,000106760
ＤＩＣグラフィックス株式会社,310000244
ＤＩＣ株式会社,000002886
ＤＯＷＡエレクトロニクス株式会社,506334182
ＤＯＷＡメタルマイン株式会社,306039131
Ｅ−Ｔｅｃ株式会社,510054049
ＦＤＫ株式会社,000237721
ＧＫＮドライブラインジャパン株式会社,000225050
ＨＯＹＡ株式会社,000113263
ＩＤＡＣセラノスティクス株式会社,513130157
ＪＣＲファーマ株式会社,000228545
ＪＤＣ株式会社,513291573
ＪＦＥスチール株式会社,000001258
ＪＮＣ株式会社,311002067
ＪＮＣ石油化学株式会社,596032100
ＪＳＲライフサイエンス株式会社,513133022
ＪＳＲ株式会社,000004178
ＪＸエネルギー株式会社,000004444
ＪＸ金属株式会社,502362758
Ｊｔｅｃホールディングス株式会社,515266496
ＫＤＤＩ株式会社,000208891
ＫＹＢ−ＹＳ株式会社,000155609
ＫＹＢ株式会社,000000929
ＬＩＮＥ株式会社,501333021
Ｎ．ＪＥＴエンジニアリング株式会社,596149899
ＮＥＣエナジーデバイス株式会社,310010081
ＮＥＣエンジニアリング株式会社,303013763
ＮＥＣソリューションイノベータ株式会社,000232092
ＮＥＣディスプレイソリューションズ株式会社,300016765
ＮＥＣネットワーク・センサ株式会社,599161890
ＮＥＣプラットフォームズ株式会社,000227205
ＮＥＣライティング株式会社,300022353
ＮＬＴテクノロジー株式会社,303018827
ＮＳＫワーナー株式会社,000102784
ＮＴＮ株式会社,000102692
ＮＵシステム株式会社,508016295
ＮｅｘｔＩｎｎｏｖａｔｉｏｎ合同会社,510202167
ＰｉｏｎｅｅｒＤＪ株式会社,315017409
ＲＥ・ＬＥＡＦ株式会社,513223013
Ｒｔｂ株式会社,513083222
ＳＢＩファーマ株式会社,508123858
ＳＭＣ株式会社,000102511
ＴＢカワシマ株式会社,510045438
ＴＤＫ株式会社,000003067
ＴＯＡ株式会社,000223182
ＴＯＴＯ株式会社,000010087
ＴＯＷＡ株式会社,390002473
ＹＫＫＡＰ株式会社,390005267
ＹＫＫ株式会社,000006828
ｐｏｐＩｎ株式会社,509044073
いすゞ自動車株式会社,000000170
つちやゴム株式会社,000100399
ぺんてる株式会社,000005511
みこらった株式会社,514228217
わかもと製薬株式会社,000100492
アーキスバイオサイエンシーズ,515021747
アースロケアコーポレイション,505446116
アース製薬株式会社,000100539
アーチキャンサーセラピューティクス，インク,512136178
アール・エイ・アイ・ストラテジック・ホールディングス・インコーポレイテッド,516097871
アール・ビー・コントロールズ株式会社,000100562
アール−ファーム・オーバーシーズ・インコーポレイテッド,516268356
アイクストロン、エスイー,502010251
アイシン・エーアイ株式会社,592058315
アイシン・エィ・ダブリュ株式会社,000100768
アイシン軽金属株式会社,000100791
アイシン精機株式会社,000000011
アイジー工業株式会社,390018463
アイセル株式会社,000100838
アイディーティー・ヨーロッパ・ゲゼルシャフト・ミト・ベシュレンクテル・ハフツング,516281311
アイディールパワーインコーポレイテッド,515358931
アイトゲネーシッシュテヒニッシュホッホシュレチューリッヒ,506160846
アイピーライトリミテッド,516134589
アイマゴソシエテアノニム,514271693
アイリスインターナショナル，インコーポレイテッド,510227148
アイロボットコーポレイション,502432084
アカーテースパワー，インク．,506405644
アカデミアゴルニツォ−ハットニツァアイエム．スタニスラワスタシツァダブリュークラクフィ,514033448
アカデミッシュメディッシュセントラム,506071771
アキュルナ株式会社,516241739
アキリオンファーマシューティカルズ，インコーポレーテッド,504378685
アクサムエス．ピー．エー．,516234155
アクシオヘリックス株式会社,510235969
アクシュネットカンパニー,390023593
アクセスビジネスグループインターナショナルリミテッドライアビリティカンパニー,302070822
アクセンチュアグローバルサービスィズリミテッド,510290957
アクセンチュアファーマシューティカルズアーベー,511139419
アクゾノーベルコーティングスインターナショナルビーヴィ,500286643
アクゾノーベルサーフィスケミストリーエルエルシー,312013619
アクチエボラゲットエレクトロルックス,516124465
アクティブアイディアズエルエルシー,516201892
アクテリオンファーマシューティカルズリミテッド,500226786
アクロンポリマーシステムズ，インク．,513071182
アグフア・ヘルスケア・ナームローゼ・フエンノートシヤツプ,308009071
アケビアセラピューティクスインコーポレイテッド,513297117
アサヒグループホールディングス株式会社,000000055
アサヒビール株式会社,311007202
アシスタンスピュブリク−オピトードゥパリ,591140123
アジオスファーマシューティカルズ，インコーポレイテッド,511223394
アステラス製薬株式会社,000006677
アスモ株式会社,000101352
アズールスペースソーラーパワーゲゼルシャフトミットベシュレンクテルハフツング,504324855
アズビル株式会社,000006666
アズマ工業株式会社,000101363
アダマ・マクテシム・リミテッド,593091979
アッシメカソシエテアノニム,512323686
アップルインコーポレイテッド,503260918
アッヴィ・インコーポレイテッド,512212195
アツミ電氣株式会社,000101400
アディマブ，エルエルシー,513010789
アトリウムメディカルコーポレーション,516275332
アドバクシス，インコーポレイテッド,514231424
アドバンスドメディカル株式会社,597007927
アドビセンヌ,513122886
アドレンズビーコンインコーポレイテッド,511136256
アビジロンコーポレイション,511210637
アビニシオテクノロジーエルエルシー,509123208
アブラクシスバイオサイエンス，エルエルシー,508061974
アプステックシステムズユーエスエーエルエルシー,516147590
アプターステルミエスアーエス,515160585
アプタルラドルフツエルゲーエムベーハ,512245713
アプティーボリサーチアンドデベロップメントエルエルシー,511001758
アプライドジェネティックテクノロジーズコーポレイション,512075257
アプライドマテリアルズインコーポレイテッド,390040660
アペイロンバイオロジックスアーゲー,510168221
アペラン,516212739
アボット・ラボラトリーズ,391008788
アボットカーディオヴァスキュラーシステムズインコーポレイテッド,507135788
アボットダイアベティスケアインコーポレイテッド,500211047
アマゾンテクノロジーズインコーポレイテッド,506329306
アマノ株式会社,000101617
アミリス，インコーポレイティド,510079008
アミリス，インコーポレイテッド,511289736
アムジエン・インコーポレーテツド,500049716
アメリカ合衆国,510002280
アラインテクノロジー，インコーポレイテッド,501214845
アリババ・グループ・ホールディング・リミテッド,510330264
アルカテル−ルーセント,391030332
アルガサイツリミテッド,513179086
アルギファルマエーエス,511292459
アルケマフランス,505005522
アルコアインコーポレイテッド,500277629
アルシメール,508367810
アルシメディク,513233470
アルセディバイオテックアンパルトセルスカブ,514124953
アルセロールミタル,515214729
アルゼゲーミング（ホンコン）リミテッド,515126835
アルテラコーポレイション,597154922
アルトリアクライアントサービシーズエルエルシー,516124616
アルパイン株式会社,000101732
アルピニオンメディカルシステムズカンパニーリミテッド,514127460
アルファ・メタルズ・インコーポレイテッド,598085065
アルプス電気株式会社,000010098
アレキソセラピューティクスインク．,516237639
アレヴァヴィントゲーエムベーハー,514104601
アロン化成株式会社,000000505
アンガー，エヴァン，シー．,516259479
アンギオビオメトゲゼルシャフトミットベシュレンクテルハフツング,516183794
アンスティチュナショナルドゥラサンテエドゥラルシェルシュメディカル,591100596
アンスティテュ・ジャン・パオリ・エ・イレーヌ・カルメッテス,503196857
アンスティテュ・ドゥ・ルシェルシュ・アン・セミオシミー・エ・エソロジー・アプリケ,516281469
アンセルム,591049848
アンセルリミテッド,503355731
アンデスバイオテクノロジーズソシエダードアノニマ,310008941
アンハイザー−ブッシュ・インベヴ・ソシエテ・アノニム,506385140
イー・２・ブイ・セミコンダクターズ,514049298
イー・アイ・デュポン・ドウ・ヌムール・アンド・カンパニー,390023674
イーエムスキャンコーポレイション,516229058
イーグルブルグマンジャパン株式会社,503227553
イーグル工業株式会社,000101879
イートンコーポレーション,390033020
イーベイインク．,506151501
イエーノプティークオプティカルシステムズゲーエムベーハー,501325543
イクストゥールオイ,512283483
イグスゲゼルシャフトミットベシュレンクターハフトゥング,507336499
イテマ・ソチエタ・ペル・アツィオーニ,515355022
